"ID","SESCORE__SUPPORTER_ID__C","MAILINGCITY","STATUS"
"0035g00000oam4QAAQ","S0409199M1","Seri Kembangan","Item Updated"
"0035g00000mfeAhAAI","S0025399M1","","Item Updated"
"0035g00000oaz1LAAQ","S0457950M1","Seri Kembangan","Item Updated"
"0035g00000mfjYOAAY","S0045963M1","Seri Kembangan","Item Updated"
"0035g00000mfq3tAAA","S0070525M1","","Item Updated"
"0035g00000mgYsfAAE","S0240314M1","","Item Updated"
"0035g00000oaVXhAAM","S0347355M1","","Item Updated"
"0035g00000mfmPzAAI","S0056734M1","","Item Updated"
"0035g00000mgCKkAAM","S0154898M1","","Item Updated"
"0035g00000mglL3AAI","S0287502M1","Seri Kembangan","Item Updated"
"0035g00000mfp9ZAAQ","S0067118M1","Seri Kembangan Selangor","Item Updated"
"0035g00000mgGrYAAU","S0171788M1","Seri Kembangan","Item Updated"
"0035g00000mgrVvAAI","S0310485M1","Seri Kembangan","Item Updated"
"0035g00000mfwoBAAQ","S0095799M1","","Item Updated"
"0035g00000mggSDAAY","S0269090M1","Seri Kembangan","Item Updated"
"0035g00000mgUPfAAM","S0223250M1","","Item Updated"
"0035g00000mggY0AAI","S0269445M1","Seri Kembangan","Item Updated"
"0035g00000mgLzkAAE","S0191131M1","Seri Kembangan","Item Updated"
"0035g00000mgdwbAAA","S0259518M1","Seri Kembangan","Item Updated"
"0035g00000mfelpAAA","S0027676M1","Seri Kembangan","Item Updated"
"0035g00000mgjFHAAY","S0279721M1","Seri Kembangan","Item Updated"
"0035g00000oaxo9AAA","S0453423M1","","Item Updated"
"0035g00000mfgaNAAQ","S0034624M1","Seri Kembangan","Item Updated"
"0035g00000ob4qvAAA","S0480255M1","","Item Updated"
"0035g00000mfjy6AAA","S0047552M1","","Item Updated"
"0035g00000mfq3uAAA","S0070526M1","","Item Updated"
"0035g00000mgbINAAY","S0249501M1","","Item Updated"
"0035g00000mgNzQAAU","S0198764M1","Seri Kembangan","Item Updated"
"0035g00000mfleyAAA","S0053844M1","Seri Kembangan","Item Updated"
"0035g00000mgCVIAA2","S0155537M1","","Item Updated"
"0035g00000mglBZAAY","S0286914M1","Seri Kembangan","Item Updated"
"0035g00000mfqDSAAY","S0071008M1","Seri Kembangan","Item Updated"
"0035g00000mgGNqAAM","S0170006M1","","Item Updated"
"0035g00000mgm1KAAQ","S0290118M1","Seri Kembangan","Item Updated"
"0035g00000mfvJMAAY","S0090104M1","Seri Kembangan","Item Updated"
"0035g00000mggSEAAY","S0269091M1","Seri Kembangan","Item Updated"
"0035g00000mgVmcAAE","S0228492M1","","Item Updated"
"0035g00000mgFWCAA2","S0166710M1","","Item Updated"
"0035g00000mgYmMAAU","S0239923M1","","Item Updated"
"0035g00000mgdwfAAA","S0259522M1","Seri Kembangan","Item Updated"
"0035g00000mfjkTAAQ","S0046712M1","Seri Kembangan","Item Updated"
"0035g00000mgcURAAY","S0254053M1","Seri Kembangan","Item Updated"
"0035g00000oalKlAAI","S0406503M1","Seri Kembangan","Item Updated"
"0035g00000mfce0AAA","S0019603M1","","Item Updated"
"0035g00000oaz8UAAQ","S0458393M1","","Item Updated"
"0035g00000mfjXlAAI","S0045924M1","Seri Kembangan","Item Updated"
"0035g00000mfpt5AAA","S0069915M1","Seri Kembangan","Item Updated"
"0035g00000mgbIoAAI","S0249528M1","Seri Kembangan","Item Updated"
"0035g00000mfzThAAI","S0105876M1","Seri Kembangan","Item Updated"
"0035g00000mflfEAAQ","S0053860M1","Seri Kembangan","Item Updated"
"0035g00000mgC8wAAE","S0154166M1","Seri Kembangan","Item Updated"
"0035g00000mglKXAAY","S0287470M1","Seri Kembangan","Item Updated"
"0035g00000mfogJAAQ","S0065329M1","","Item Updated"
