"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000mgnYLAAY","S0295849M1","Malaysia","Item Updated"
"0035g00000oaa0sAAA","S0364261M1","Malaysia","Item Updated"
"0035g00000mfnrpAAA","S0062239M1","Malaysia","Item Updated"
"0035g00000mgcAbAAI","S0252838M1","Malaysia","Item Updated"
"0035g00000mgcBXAAY","S0252896M1","Malaysia","Item Updated"
"0035g00000oacyZAAQ","S0375115M1","Malaysia","Item Updated"
"0035g00000mg8KYAAY","S0139615M1","Malaysia","Item Updated"
"0035g00000mgjM4AAI","S0280142M1","Malaysia","Item Updated"
"0035g00000oag4zAAA","S0386560M1","Malaysia","Item Updated"
"0035g00000mgEgKAAU","S0163544M1","Malaysia","Item Updated"
"0035g00000ob2czAAA","S0471733M1","Malaysia","Item Updated"
"0035g00000mg3GMAAY","S0120260M1","Malaysia","Item Updated"
"0035g00000mfuckAAA","S0087482M1","Malaysia","Item Updated"
"0035g00000mgWsyAAE","S0232690M1","Malaysia","Item Updated"
"0035g00000mg8CCAAY","S0139097M1","Malaysia","Item Updated"
"0035g00000mgVASAA2","S0226126M1","Malaysia","Item Updated"
"0035g00000mgiIeAAI","S0276151M1","Malaysia","Item Updated"
"0035g00000mfZT4AAM","S0007716M1","Malaysia","Item Updated"
"0035g00000mgj1kAAA","S0278887M1","Malaysia","Item Updated"
"0035g00000oawj3AAA","S0449323M1","Malaysia","Item Updated"
"0035g00000mfeYVAAY","S0026865M1","Malaysia","Item Updated"
"0035g00000mguYTAAY","S0321705M1","Malaysia","Item Updated"
"0035g00000mfkIvAAI","S0048823M1","Malaysia","Item Updated"
"0035g00000mfns2AAA","S0062252M1","Malaysia","Item Updated"
"0035g00000mgXoBAAU","S0236212M1","Malaysia","Item Updated"
"0035g00000mgcBYAAY","S0252897M1","Malaysia","Item Updated"
"0035g00000oafkjAAA","S0385419M1","Malaysia","Item Updated"
"0035g00000mgACrAAM","S0146786M1","Malaysia","Item Updated"
"0035g000015xQO7AAM","S0603807M1","Malaysia","Item Updated"
"0035g00000oag4aAAA","S0386535M1","Malaysia","Item Updated"
"0035g000013fcsVAAQ","S0596376M1","Malaysia","Item Updated"
"0035g00000oayqZAAQ","S0457292M1","Malaysia","Item Updated"
"0035g00000mfvaTAAQ","S0091155M1","Malaysia","Item Updated"
"0035g00000mga7NAAQ","S0245030M1","Malaysia","Item Updated"
"0035g00000mgWu5AAE","S0232759M1","Malaysia","Item Updated"
"0035g00000mgga1AAA","S0269570M1","Malaysia","Item Updated"
"0035g00000mgW9HAAU","S0229887M1","Malaysia","Item Updated"
"0035g00000mgiIlAAI","S0276158M1","Malaysia","Item Updated"
"0035g00000mfZT7AAM","S0007719M1","Malaysia","Item Updated"
"0035g00000mgjpDAAQ","S0281889M1","Malaysia","Item Updated"
"0035g00000oam5uAAA","S0409291M1","Malaysia","Item Updated"
"0035g00000mfcRgAAI","S0018844M1","Malaysia","Item Updated"
"0035g00000mgmyxAAA","S0293695M1","Malaysia","Item Updated"
"0035g00000mfkJ6AAI","S0048834M1","Malaysia","Item Updated"
"0035g00000mfnsbAAA","S0062287M1","Malaysia","Item Updated"
"0035g00000mgXoSAAU","S0236229M1","Malaysia","Item Updated"
"0035g00000mfzHgAAI","S0105131M1","Malaysia","Item Updated"
"0035g00000oahaVAAQ","S0392143M1","Malaysia","Item Updated"
"0035g00000mgC9IAAU","S0154188M1","Malaysia","Item Updated"
"0035g000017CzXAAA0","S0606976M1","Malaysia","Item Updated"
"0035g00000oag4bAAA","S0386536M1","Malaysia","Item Updated"
"0035g00000mgGPYAA2","S0170112M1","Malaysia","Item Updated"
"0035g00000mgosSAAQ","S0300870M1","Malaysia","Item Updated"
"0035g00000mg0I7AAI","S0108967M1","Malaysia","Item Updated"
"0035g00000mgUINAA2","S0222798M1","Malaysia","Item Updated"
"0035g00000mgWbnAAE","S0231650M1","Malaysia","Item Updated"
"0035g00000mg6BtAAI","S0131435M1","Malaysia","Item Updated"
"0035g00000mgSmsAAE","S0217021M1","Malaysia","Item Updated"
"0035g00000mgm9xAAA","S0290573M1","Malaysia","Item Updated"
"0035g00000mfgvsAAA","S0035937M1","Malaysia","Item Updated"
"0035g00000mgZYRAA2","S0242883M1","Malaysia","Item Updated"
"0035g00000oam4hAAA","S0409216M1","Malaysia","Item Updated"
"0035g00000mfgb4AAA","S0034667M1","Malaysia","Item Updated"
"0035g00000ob57mAAA","S0481300M1","Malaysia","Item Updated"
"0035g00000mfjYoAAI","S0045989M1","Malaysia","Item Updated"
"0035g00000mfnsdAAA","S0062289M1","Malaysia","Item Updated"
"0035g00000mgXoTAAU","S0236230M1","Malaysia","Item Updated"
"0035g00000mg0ohAAA","S0110982M1","Malaysia","Item Updated"
"0035g00000oahZGAAY","S0392066M1","Malaysia","Item Updated"
"0035g00000mgC9kAAE","S0154216M1","Malaysia","Item Updated"
"0035g00000mgjMnAAI","S0280187M1","Malaysia","Item Updated"
