"SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","ERROR"
"S0507461M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0446078M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0636306M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0282402M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0434443M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0064958M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0300818M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0405927M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0467849M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0503439M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
